순번,영화명,개봉일,전국,전국,전국,장르,등급
269,조선미녀삼총사,2014-01-29,388,"3,471,341,321","480,361",코미디,12세이상관람가
270,넛잡: 땅콩 도둑들,2014-01-29,382,"3,280,608,100","478,392",애니메이션,전체관람가
271,"로봇, 소리",2016-01-27,609,"3,519,595,560","476,665",드라마,12세이상관람가
272,변산,2018-07-04,763,"3,886,052,473","474,137",드라마,15세이상관람가
273,위험한 상견례 2,2015-04-29,429,"3,575,384,754","472,693",멜로/로맨스,15세이상관람가
365,나를 기억해,2018-04-19,545,"1,227,953,892","140,849",미스터리,청소년관람불가
275,마담 뺑덕,2014-10-02,536,"3,685,882,590","465,749",멜로/로맨스,청소년관람불가
340,언니,2019-01-01,530,"1,746,373,250","197,134",액션,청소년관람불가
277,동네사람들,2018-11-07,731,"3,797,676,112","459,020",액션,15세이상관람가
278,노브레싱,2013-10-30,584,"2,991,824,739","451,669",드라마,15세이상관람가
279,원더풀 고스트,2018-09-26,351,"3,720,931,600","450,374",코미디,12세이상관람가
280,반드시 잡는다,2017-11-29,565,"3,324,033,772","446,379",스릴러,15세이상관람가
281,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,544,"3,290,582,700","445,014",애니메이션,전체관람가
282,감쪽같은 그녀,2019-12-04,761,"3,377,895,790","436,257",드라마,전체관람가
283,원라인,2017-03-29,613,"3,310,122,433","433,825",범죄,15세이상관람가
284,"협녀, 칼의 기억",2015-08-13,572,"3,360,045,489","431,310",사극,15세이상관람가
258,몬스터,2014-03-13,527,"4,136,202,515","526,282",스릴러,청소년관람불가
286,오피스,2015-09-03,425,"3,354,086,230","428,429",스릴러,15세이상관람가
287,나를 잊지 말아요,2016-01-07,559,"3,398,915,000","425,799",멜로/로맨스,15세이상관람가
288,흥부: 글로 세상을 바꾼 자,2018-02-14,627,"3,381,050,200","416,303",사극,12세이상관람가
247,우는 남자,2014-06-04,508,"4,883,740,800","599,050",액션,청소년관람불가
290,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,763,"3,140,214,420","410,131",애니메이션,전체관람가
291,넛잡 2,2017-10-03,526,"3,038,945,100","407,727",애니메이션,전체관람가
327,비밀은 없다,2016-06-23,502,"2,027,801,239","250,650",스릴러,청소년관람불가
293,내 심장을 쏴라,2015-01-28,452,"2,856,859,132","387,409",드라마,15세이상관람가
294,나의 독재자,2014-10-30,654,"2,906,692,546","385,934",드라마,15세이상관람가
295,보통사람,2017-03-23,621,"2,956,397,623","383,336",드라마,15세이상관람가
296,소수의견,2015-06-24,398,"2,891,431,205","383,332",드라마,15세이상관람가
297,대장 김창수,2017-10-19,748,"2,871,905,115","380,581",드라마,12세이상관람가
298,경성학교: 사라진 소녀들,2015-06-18,489,"2,749,027,700","356,342",미스터리,15세이상관람가
299,석조저택 살인사건,2017-05-09,539,"2,815,742,886","351,830",스릴러,15세이상관람가
300,싱글라이더,2017-02-22,576,"2,685,519,021","351,276",드라마,15세이상관람가
301,7호실,2017-11-15,629,"2,677,284,639","347,790",코미디,15세이상관람가
302,치외법권,2015-08-27,446,"2,664,941,005","346,483",액션,15세이상관람가
303,러브 유어셀프 인 서울,2019-01-26,224,"3,209,682,900","342,366",공연,전체관람가
229,더 파이브,2013-11-14,501,"5,343,797,000","731,212",스릴러,청소년관람불가
305,허스토리,2018-06-27,696,"2,521,025,949","336,822",드라마,12세이상관람가
306,브링 더 소울 : 더 무비,2019-08-07,569,"2,902,500,310","336,074",기타,전체관람가
307,미나문방구,2013-05-16,385,"2,247,017,000","334,323",드라마,전체관람가
308,오! 문희,2020-09-02,"1,110","2,610,576,660","325,577",코미디,12세이상관람가
309,희생부활자,2017-10-12,781,"2,515,479,835","323,628",미스터리,15세이상관람가
289,무뢰한,2015-05-27,482,"3,262,087,431","414,626",멜로/로맨스,청소년관람불가
311,도리화가,2015-11-25,563,"2,246,950,339","317,505",사극,12세이상관람가
312,레드카펫,2014-10-23,385,"2,404,458,580","316,780",멜로/로맨스,15세이상관람가
313,번 더 스테이지: 더 무비,2018-11-15,243,"2,671,391,900","315,010",기타,전체관람가
314,위대한 소원,2016-04-21,524,"2,438,260,213","308,180",코미디,15세이상관람가
315,덕구,2018-04-05,544,"2,320,819,700","306,126",드라마,전체관람가
316,미성년,2019-04-11,673,"2,493,769,950","293,258",드라마,15세이상관람가
317,배심원들,2019-05-15,784,"2,303,130,090","288,113",드라마,12세이상관람가
318,혼숨,2016-10-26,498,"2,258,422,445","288,016",공포(호러),15세이상관람가
319,기방도령,2019-07-10,625,"2,327,760,190","286,806",코미디,15세이상관람가
320,다이노 타임,2015-04-30,430,"2,099,683,100","283,300",애니메이션,전체관람가
321,극장판 안녕 자두야,2016-05-04,523,"2,124,832,300","278,914",애니메이션,전체관람가
322,롤러코스터,2013-10-17,374,"1,913,087,600","270,148",코미디,15세이상관람가
337,남과 여,2016-02-25,449,"1,651,122,533","203,775",멜로/로맨스,청소년관람불가
324,함정,2015-09-10,445,"2,088,685,200","257,716",스릴러,청소년관람불가
325,기묘한 가족,2019-02-13,625,"2,062,904,275","256,202",코미디,12세이상관람가
326,밤의 여왕,2013-10-17,333,"1,762,892,500","252,475",멜로/로맨스,15세이상관람가
310,극적인 하룻밤,2015-12-03,434,"2,610,929,429","320,923",멜로/로맨스,청소년관람불가
254,사이코메트리,2013-03-07,429,"3,964,769,129","531,953",미스터리,청소년관람불가
329,어느날,2017-04-05,532,"1,827,370,582","232,016",멜로/로맨스,15세이상관람가
330,순정,2016-02-24,467,"1,643,792,033","229,059",드라마,12세이상관람가
331,치즈인더트랩,2018-03-14,364,"1,890,873,700","229,005",멜로/로맨스,15세이상관람가
248,황제를 위하여,2014-06-11,423,"4,751,881,771","592,041",액션,청소년관람불가
333,1급기밀,2018-01-24,512,"1,720,083,300","217,803",드라마,12세이상관람가
334,속닥속닥,2018-07-13,314,"1,900,914,300","217,444",공포(호러),15세이상관람가
259,헬머니,2015-03-05,422,"4,096,141,972","519,983",코미디,청소년관람불가
336,덕수리 5형제,2014-12-04,346,"1,560,183,200","206,953",코미디,15세이상관람가
285,창수,2013-11-28,415,"3,146,542,000","429,141",드라마,청소년관람불가
338,비스트,2019-06-26,737,"1,596,148,590","202,007",범죄,15세이상관람가
339,어린 의뢰인,2019-05-22,671,"1,631,919,600","198,211",드라마,12세이상관람가
335,연애의 맛,2015-05-07,398,"1,706,805,153","212,154",멜로/로맨스,청소년관람불가
341,언더독,2019-01-16,612,"1,485,934,830","193,484",애니메이션,전체관람가
404,두 남자,2016-11-30,397,"459,566,121","60,365",범죄,청소년관람불가
343,런닝맨 : 풀룰루의 역습,2018-12-05,511,"1,414,494,750","186,324",애니메이션,전체관람가
344,사라진 시간,2020-06-18,874,"1,651,202,580","185,655",미스터리,15세이상관람가
345,우상,2019-03-20,900,"1,581,839,728","183,784",스릴러,15세이상관람가
346,마이 리틀 히어로,2013-01-09,341,"1,286,203,128","183,650",드라마,전체관람가
347,채비,2017-11-09,480,"1,249,977,864","175,889",드라마,12세이상관람가
348,국제수사,2020-09-29,"1,074","1,343,185,920","175,843",코미디,15세이상관람가
349,톱스타,2013-10-24,397,"1,194,180,500","175,152",드라마,15세이상관람가
350,두번할까요,2019-10-17,658,"1,449,660,120","174,938",코미디,15세이상관람가
351,아빠를 빌려드립니다,2014-11-20,326,"1,188,673,500","172,445",코미디,12세이상관람가
352,자전차왕 엄복동,2019-02-27,624,"1,304,861,670","172,212",드라마,12세이상관람가
353,대배우,2016-03-30,474,"1,245,426,228","169,855",코미디,12세이상관람가
304,하이힐,2014-06-03,385,"2,735,972,500","339,844",범죄,청소년관람불가
355,진범,2019-07-10,224,"1,424,601,000","167,333",스릴러,15세이상관람가
356,담보,2020-09-29,"1,342","1,290,710,760","165,849",드라마,12세이상관람가
357,최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,318,"1,163,431,200","154,342",애니메이션,전체관람가
358,달빛궁궐,2016-09-07,425,"1,134,639,700","151,360",애니메이션,전체관람가
359,비정규직 특수요원,2017-03-16,497,"1,150,732,700","149,719",코미디,15세이상관람가
371,나의 절친 악당들,2015-06-25,384,"1,054,470,664","133,553",범죄,청소년관람불가
362,은밀한 유혹,2015-06-04,394,"1,112,423,247","142,405",멜로/로맨스,15세이상관람가
292,좋은 친구들,2014-07-10,371,"3,201,527,031","404,456",범죄,청소년관람불가
364,극장판 또봇: 로봇군단의 습격,2017-04-27,231,"1,089,135,300","141,592",애니메이션,전체관람가
363,가시,2014-04-10,356,"1,094,017,000","141,956",멜로/로맨스,청소년관람불가
366,독전: 익스텐디드 컷,2018-07-18,398,"844,714,600","137,775",범죄,15세이상관람가
367,0.0MHz,2019-05-29,446,"1,088,258,860","137,294",공포(호러),15세이상관람가
368,검객,2020-09-23,832,"1,162,122,130","136,824",액션,15세이상관람가
369,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,200,"905,899,900","135,398",애니메이션,전체관람가
370,로마의 휴일,2017-08-30,436,"993,321,176","134,827",코미디,15세이상관람가
360,워킹걸,2015-01-07,308,"1,183,887,479","149,181",코미디,청소년관람불가
342,응징자,2013-10-30,305,"1,388,412,500","192,347",액션,청소년관람불가
373,시간위의 집,2017-04-05,454,"987,958,600","124,601",미스터리,15세이상관람가
374,퇴마: 무녀굴,2015-08-20,331,"951,843,500","120,802",공포(호러),15세이상관람가
375,최강전사 미니특공대: 영웅의 탄생,2016-02-04,349,"866,704,200","115,704",애니메이션,전체관람가
332,분노의 윤리학,2013-02-21,302,"1,654,554,000","224,891",스릴러,청소년관람불가
377,저 산 너머,2020-04-30,468,"772,697,300","103,535",드라마,12세이상관람가
378,크게 될 놈,2019-04-18,447,"780,915,420","102,223",드라마,15세이상관람가
379,루시드 드림,2017-02-22,461,"759,481,000","102,170",SF,15세이상관람가
380,암전,2019-08-15,423,"898,461,215","101,913",미스터리,15세이상관람가
381,게이트,2018-02-28,208,"820,756,100","101,173",범죄,15세이상관람가
382,돌연변이,2015-10-22,399,"748,936,684","100,543",드라마,12세이상관람가
383,미니특공대X,2018-03-22,458,"744,858,200","99,952",애니메이션,전체관람가
384,디바,2020-09-23,831,"834,454,530","99,659",스릴러,15세이상관람가
385,여중생A,2018-06-20,479,"811,686,000","97,849",드라마,12세이상관람가
386,슈퍼 빼꼼: 스파이 대작전,2017-05-03,358,"691,794,900","97,005",애니메이션,전체관람가
387,걷기왕,2016-10-20,462,"710,905,075","95,542",드라마,12세이상관람가
388,무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,317,"764,967,500","95,415",공포(호러),15세이상관람가
389,일사각오,2016-03-17,51,"682,581,500","94,767",드라마,12세이상관람가
390,브레이크 더 사일런스: 더 무비,2020-09-24,205,"807,802,000","92,078",다큐멘터리,전체관람가
391,그대 이름은 장미,2019-01-16,540,"735,782,970","88,054",코미디,12세이상관람가
392,터널 3D,2014-08-20,264,"620,874,000","80,989",공포(호러),15세이상관람가
393,소리꾼,2020-07-01,573,"642,120,680","79,215",사극,12세이상관람가
394,극장판 미니특공대: 공룡왕 디노,2020-02-06,485,"613,273,720","78,929",애니메이션,전체관람가
376,배우는 배우다,2013-10-24,297,"811,031,000","111,927",드라마,청소년관람불가
396,엽기적인 그녀 2,2016-05-12,387,"588,233,900","76,321",멜로/로맨스,15세이상관람가
397,정글히어로,2014-10-02,287,"506,194,300","71,330",애니메이션,전체관람가
398,번개맨,2016-02-11,393,"516,736,500","69,303",판타지,전체관람가
395,쓰리 썸머 나잇,2015-07-15,297,"616,132,846","77,621",코미디,청소년관람불가
400,여곡성,2018-11-08,212,"594,373,400","67,368",공포(호러),15세이상관람가
401,극장판 반지의 비밀일기,2019-09-11,459,"539,843,170","67,319",애니메이션,전체관람가
402,올레,2016-08-25,338,"522,938,900","66,883",드라마,15세이상관람가
403,뷰티풀 투모로우,2017-10-26,47,"552,273,700","63,279",드라마,12세이상관람가
372,맨홀,2014-10-08,286,"1,053,876,130","129,732",공포(호러),청소년관람불가
405,번개맨과 신비의 섬,2018-04-05,191,"481,474,700","59,923",가족,전체관람가
406,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,258,"410,518,600","56,835",애니메이션,전체관람가
407,빅뱅 메이드,2016-06-30,56,"464,727,700","55,227",다큐멘터리,12세이상관람가
408,잡아야 산다,2016-01-07,219,"410,361,400","54,450",코미디,15세이상관람가
409,왓칭,2019-04-17,488,"456,558,262","54,410",공포(호러),15세이상관람가
410,머니백,2018-04-12,472,"411,511,600","52,618",액션,15세이상관람가
411,미안해 사랑해 고마워,2015-10-28,344,"359,247,800","51,207",드라마,15세이상관람가
412,젝스키스 에이틴,2018-01-18,25,"364,405,500","50,419",다큐멘터리,전체관람가
413,비밀,2015-10-15,305,"369,339,300","50,196",미스터리,15세이상관람가
414,번개맨의 비밀,2018-12-06,309,"383,521,050","49,751",가족,전체관람가
415,데자뷰,2018-05-30,536,"360,833,100","48,279",미스터리,15세이상관람가
416,목숨 건 연애,2016-12-14,393,"359,712,800","47,479",멜로/로맨스,15세이상관람가
417,뜨거운 안녕,2013-05-30,172,"315,291,000","47,105",드라마,12세이상관람가
418,비밥바룰라,2018-01-24,347,"318,986,200","46,817",코미디,12세이상관람가
419,"그래, 가족",2017-02-15,361,"350,293,300","46,623",코미디,12세이상관람가
354,노리개,2013-04-18,278,"1,229,574,500","169,054",드라마,청소년관람불가
420,설계,2014-09-18,257,"347,188,800","45,638",스릴러,청소년관람불가
422,약장수,2015-04-23,282,"313,238,400","43,562",드라마,15세이상관람가
423,극장판 뽀잉: 슈퍼 변신의 비밀,2018-09-20,294,"312,710,450","41,054",애니메이션,전체관람가
424,배반의 장미,2018-10-18,457,"332,232,550","41,054",코미디,15세이상관람가
425,레이디버그,2017-02-22,172,"310,291,500","41,041",애니메이션,전체관람가
426,아이즈 온 미 : 더 무비,2020-06-10,124,"506,274,000","39,228",공연,전체관람가
427,트릭,2016-07-13,390,"297,315,300","38,155",스릴러,15세이상관람가
428,백프로,2014-04-03,236,"275,138,600","36,792",코미디,15세이상관람가
429,죽지않는 인간들의 밤,2020-09-29,570,"284,194,510","36,582",코미디,15세이상관람가
430,에스엠타운 더 스테이지,2015-08-13,65,"284,650,500","35,857",다큐멘터리,전체관람가
431,스파키,2018-04-12,312,"257,040,200","35,436",애니메이션,전체관람가
432,대결,2016-09-22,366,"251,176,500","32,278",액션,15세이상관람가
433,썬키스 패밀리,2019-03-27,417,"245,549,900","31,742",가족,15세이상관람가
461,검은손,2015-04-16,178,"89,815,665","11,650",공포(호러),청소년관람불가
435,역모-반란의 시대,2017-11-23,355,"212,967,300","29,294",사극,15세이상관람가
436,캐리tv 러브콘서트 더 무비,2019-08-07,155,"225,815,700","28,679",공연,전체관람가
437,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,122,"220,051,200","27,070",전쟁,15세이상관람가
438,해피 투게더,2018-11-15,240,"204,452,450","27,046",드라마,12세이상관람가
439,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,71,"189,774,200","23,926",드라마,전체관람가
440,고스트 메신저 극장판,2014-05-22,81,"184,033,000","23,721",애니메이션,12세이상관람가
441,얼굴없는 보스,2019-11-21,293,"199,801,000","23,711",액션,15세이상관람가
443,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,106,"702,023,500","22,938",공연,전체관람가
444,히어로,2013-10-08,179,"148,940,000","22,617",가족,전체관람가
445,파워배틀 와치카: 와치가면의 역습,2017-06-01,246,"153,909,000","22,110",애니메이션,전체관람가
446,터닝메카드W: 반다인의 비밀 특별판,2018-02-08,168,"164,797,700","21,947",애니메이션,전체관람가
447,히야,2016-03-10,124,"173,844,100","21,687",드라마,12세이상관람가
448,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,2014-08-07,91,"133,926,800","20,175",애니메이션,전체관람가
449,완전 소중한 사랑,2013-11-21,66,"127,694,500","20,063",드라마,12세이상관람가
450,트와이스랜드,2018-12-07,53,"153,765,000","18,252",다큐멘터리,전체관람가
451,이별계약,2013-06-20,63,"127,495,500","17,797",멜로/로맨스,12세이상관람가
452,극장판 샤이닝스타:새로운 루나퀸의 탄생!,2019-07-18,117,"129,098,700","15,785",애니메이션,전체관람가
453,핑크퐁 시네마 콘서트 : 우주대탐험,2020-01-30,182,"118,488,500","15,229",애니메이션,전체관람가
454,부활,2020-07-09,83,"112,596,500","14,437",다큐멘터리,전체관람가
455,무수단,2016-03-03,228,"112,188,400","14,386",미스터리,15세이상관람가
399,닥터,2013-06-20,163,"495,574,500","68,312",스릴러,청소년관람불가
457,웃는남자 감독판,2019-11-29,18,"172,341,000","13,087",공연,전체관람가
458,사랑하고 있습니까,2020-03-25,295,"102,673,840","12,878",판타지,12세이상관람가
434,꼭두각시,2013-06-20,134,"227,941,500","31,713",공포(호러),청소년관람불가
460,타투,2015-12-10,133,"99,263,100","12,103",스릴러,청소년관람불가
462,이웃집 스타,2017-09-21,256,"78,213,300","10,854",코미디,12세이상관람가
463,제 7기사단,2015-09-10,95,"80,160,964","10,710",액션,15세이상관람가
464,슈퍼레이서 엔지,2015-09-10,126,"73,587,800","10,612",애니메이션,전체관람가
465,폴라로이드,2015-07-16,27,"65,317,000","10,094",드라마,전체관람가
466,신화 라이브 3D 더 레전드 컨티뉴스,2014-12-11,29,"114,524,000","9,817",공연,전체관람가
456,아티스트 봉만대,2013-08-29,131,"93,817,000","14,188",코미디,청소년관람불가
469,메이크 유어 무브,2014-04-17,96,"73,741,600","9,368",멜로/로맨스,12세이상관람가
495,세상끝의 사랑,2015-11-12,97,"34,737,300","4,472",멜로/로맨스,청소년관람불가
471,극장판 미니특공대: 햄버거괴물의 습격,2020-09-30,413,"70,630,710","8,755",애니메이션,전체관람가
472,노트르담 드 파리,2017-11-01,36,"107,289,500","8,350",뮤지컬,전체관람가
474,원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,2013-10-31,39,"90,752,500","8,038",공연,전체관람가
475,"의궤, 8일간의 축제 3D",2014-04-17,16,"45,334,000","7,956",다큐멘터리,전체관람가
477,꾸루꾸루와 친구들: 무지개 나무의 비밀,2015-11-19,103,"51,367,500","7,345",애니메이션,전체관람가
478,청춘 합창단 - 또 하나의 꿈,2017-06-15,39,"44,711,400","6,489",다큐멘터리,전체관람가
468,한 번도 안 해본 여자,2014-01-16,66,"71,166,500","9,469",멜로/로맨스,청소년관람불가
480,해적왕 작스톰,2018-07-25,65,"45,905,800","5,916",애니메이션,전체관람가
481,서태지밴드 콘서트투어 '콰이어트나이트',2015-11-26,6,"52,669,600","5,908",공연,전체관람가
483,스퀴시랜드,2014-06-04,55,"38,111,300","5,473",애니메이션,전체관람가
485,구세주: 리턴즈,2017-09-14,124,"39,997,000","5,401",코미디,15세이상관람가
487,돌아와요 부산항애(愛),2018-01-17,88,"38,622,300","5,163",범죄,15세이상관람가
470,연애의 기술,2013-10-30,63,"64,882,000","8,913",멜로/로맨스,청소년관람불가
493,은밀하게 위대하게 (확장판),2013-08-05,5,"34,327,500","4,738",액션,15세이상관람가
501,청춘학당 : 풍기문란 보쌈 야사,2014-03-27,57,"26,637,900","3,772",멜로/로맨스,청소년관람불가
496,왕을 참하라,2017-03-16,54,"32,469,800","4,237",드라마,청소년관람불가
498,부산행:익스텐디드,2020-07-01,88,"32,808,500","4,117",액션,15세이상관람가
499,매지컬: 공주를 웃겨라,2020-09-17,220,"31,582,870","4,050",애니메이션,전체관람가
500,"1789, 바스티유의 연인들",2014-09-18,35,"67,308,500","3,892",뮤지컬,전체관람가
479,맛있는 택배,2015-04-02,50,"31,122,000","6,276",멜로/로맨스,청소년관람불가
535,돈 맛,2016-09-29,50,"8,439,000","1,733",멜로/로맨스,청소년관람불가
526,제인의 썸머,2020-06-18,43,"12,575,500","2,182",멜로/로맨스,청소년관람불가
507,공포체험단 곤지암편,2019-07-19,10,"17,285,500","3,282",공포(호러),15세이상관람가
508,무명인,2014-05-29,51,"25,063,600","3,199",미스터리,15세이상관람가
509,미친도시,2018-08-30,4,"24,029,500","3,165",드라마,15세이상관람가
511,리벤져,2018-12-06,57,"22,088,100","3,028",액션,15세이상관람가
512,광인옥한흠,2017-12-28,18,"22,537,200","2,985",다큐멘터리,전체관람가
518,여배우는 너무해,2014-02-27,42,"19,836,400","2,673",멜로/로맨스,청소년관람불가
514,런 보이 런,2020-05-28,25,"20,893,740","2,956",드라마,15세이상관람가
515,공수도,2020-04-09,79,"25,089,500","2,950",액션,15세이상관람가
516,이티피 페스티벌 08X09 서태지,2013-05-03,1,"26,632,000","2,764",공연,전체관람가
506,미스체인지,2013-09-05,41,"23,494,500","3,344",코미디,청소년관람불가
520,슈퍼쇼 4 3D,2013-08-08,26,"30,332,000","2,567",공연,전체관람가
522,강철비2 : 정상회담 확장판,2020-09-30,126,"10,964,500","2,498",드라마,15세이상관람가
523,열혈형사,2020-06-18,121,"20,539,960","2,492",코미디,12세이상관람가
525,노리개: 그녀의 눈물,2019-06-13,50,"18,961,950","2,237",드라마,15세이상관람가
558,아직 사랑하고 있습니까?,2019-12-04,38,"8,863,340","1,180",코미디,청소년관람불가
528,레쓰링,2014-09-11,33,"16,073,000","2,116",코미디,청소년관람불가
530,몬테크리스토,2019-11-14,14,"26,167,000","2,056",뮤지컬,12세이상관람가
531,태백권,2020-08-20,62,"14,307,800","2,018",코미디,15세이상관람가
532,파파 오랑후탄,2018-04-19,3,"14,655,000","1,951",다큐멘터리,12세이상관람가
533,라라,2018-02-22,28,"14,798,800","1,860",멜로/로맨스,15세이상관람가
534,공포체험라디오 4DX,2020-09-16,37,"16,604,000","1,794",공포(호러),15세이상관람가
513,살인자의 기억법 : 새로운 기억,2017-11-01,24,"19,563,000","2,958",범죄,청소년관람불가
539,프리즈너,2020-07-23,49,"13,642,360","1,681",액션,15세이상관람가
540,얼굴없는 보스: 못다한 이야기 감독판,2020-05-13,50,"12,157,200","1,662",범죄,15세이상관람가
505,일탈여행: 프라이빗 아일랜드,2013-08-29,23,"18,135,500","3,460",멜로/로맨스,청소년관람불가
548,오늘도 위위,2019-10-17,40,"11,681,460","1,416",드라마,전체관람가
550,나는 증인이다,2016-09-14,2,"7,113,800","1,407",미스터리,15세이상관람가
551,게이트-완결판,2018-06-21,5,"1,348,000","1,339",범죄,15세이상관람가
555,더하우스,2019-12-12,48,"7,631,000","1,245",스릴러,15세이상관람가
547,스케치,2014-03-27,22,"10,690,500","1,483",멜로/로맨스,청소년관람불가
560,"시발, 놈: 인류의 시작",2016-08-18,10,"8,802,400","1,159",코미디,15세이상관람가
561,안나 카레니나,2018-06-29,9,"19,632,800","1,116",뮤지컬,12세이상관람가
564,무서운 집,2015-07-30,1,"9,371,000","1,039",공포(호러),12세이상관람가
566,아르코라이브 뮤지컬 안테모사,2020-03-25,16,"12,059,500","1,016",공연,전체관람가
569,아더왕의 전설,2016-11-09,5,"15,299,000",967,공연,전체관람가
579,앙상블,2014-12-18,1,"6,195,500",776,드라마,전체관람가
580,예스 평창!,2018-03-08,11,"6,530,800",774,다큐멘터리,전체관람가
583,귀신의 향기,2019-07-03,17,"5,295,500",748,공포(호러),15세이상관람가
586,오디세오,2015-10-22,8,"9,880,000",662,공연,전체관람가
588,정의심판,2019-10-17,2,"5,772,000",652,드라마,15세이상관람가
617,마지막 위안부,2015-08-03,1,"4,172,000",490,드라마,15세이상관람가
490,바캉스,2013-10-17,21,"14,674,000","5,051",스릴러,청소년관람불가
650,호두까기 인형,2014-12-07,1,"1,488,000",372,공연,전체관람가
664,사랑하기 때문에,2017-01-04,542,"1,723,000",337,코미디,12세이상관람가
675,풍뎅이뎅이,2018-02-08,4,"2,001,000",308,애니메이션,전체관람가
679,다이빙벨: 진실은 침몰하지 않습니다,2015-04-16,4,"2,209,000",300,다큐멘터리,15세이상관람가
684,스피릿 오브 베토벤,2014-12-10,1,"1,164,000",291,공연,전체관람가
770,아빠가 돌아왔다,2016-05-19,1,"1,450,000",220,가족,15세이상관람가
1145,폐교,2019-09-05,20,"670,300",113,공포(호러),15세이상관람가
1162,머피와 샐리의 법칙,2020-05-20,1,"212,000",106,코미디,12세이상관람가
1163,아르코라이브 의자 고치는 여인,2020-05-20,6,"1,205,500",102,공연,12세이상관람가
1165,유신의 미학,2015-12-16,1,"739,000",93,드라마,15세이상관람가
1185,아르코 라이브 완창판소리프로젝트2 강산제수궁가,2020-04-14,7,"917,000",77,공연,전체관람가
1192,"불의 날, 생명을 말하다",2016-04-28,1,"568,000",71,다큐멘터리,전체관람가
1193,한민족 그리고 조선족,2014-12-10,1,"568,000",71,다큐멘터리,전체관람가
1277,외계인들,2014-12-31,1,"270,000",54,코미디,15세이상관람가
1280,이상한 게임,2019-06-09,1,"324,000",54,미스터리,15세이상관람가
1284,콩쥐별전 - 전주성의 비밀,2019-07-27,1,"219,000",52,애니메이션,전체관람가
1295,아르코라이브 무용 히트 앤 런,2020-05-06,6,"343,000",49,공연,전체관람가
1305,깡패와소녀,2020-07-22,1,"212,000",27,드라마,15세이상관람가
1434,악녀의 시,2016-02-18,5,"123,000",14,범죄,15세이상관람가
1486,마음,2016-07-21,1,"12,000",2,드라마,15세이상관람가
1671,독고다이,2019-06-18,1,"1,000",1,드라마,15세이상관람가
2069,어쩌다 옥탑방,2019-04-17,1,"1,000",1,SF,15세이상관람가
2211,이 사랑도 전해질까요,2017-06-21,1,"3,000",1,멜로/로맨스,전체관람가
